"Table S1. List of taxa, locality and voucher information.",,,,,,,,,,,
,,,,,,,,,,,
ID,Species,Museum,Voucher,Tissue Number,Country,Locality,lat,long,Level,Type,NCBI
BTC580,"Cochoa viridis Hodgson, 1836",American Museum of Natural History,AMNH DOT 12281,RTC580,Vietnam,"Quang Nam, Tra My District, Ngoc Linh Range",15.0725,107.97,OUTGROUP,Tissue,SAMN12984466
U4148,"Ridgwayia pinicola P. L. Sclater, 1859",Burke Museum,UWBM 110595,,Mexico,,28.45,-108.1,OUTGROUP,Tissue,SAMN12984467
U3572 (DOT6948),"Turdus swalesi Wetmore, 1927",American Museum of Natural History,AMNH DOT6948 ,NKK 1013,Dominican Republic," Prov. Independencia, Parque Nacional Sierra de Baoruco, Zapoten, Saw Mill Clearing, elev 1500m",18.73569167,-70.16265,INGROUP,Tissue,SAMN12984468
U4053,"Turdus rubrocanus G. R. Gray, 1846","South Western Forestry University, Kunming",SWFU05041,,China,"Lianhua Mts, Jiangxi",27.13646944,113.8650722,INGROUP,Tissue,SAMN12984469
U4054,"Turdus hortulorum P. L. Sclater, 1863",South Western Forestry University,SWFU06034,,China,"Yihuang, Jiangxi",27.61281389,116.2221278,INGROUP,Tissue,SAMN12984470
U4178,"Psophocichla litsitsirupa A. Smith, 1836",Burke Museum,UWBM 95229,GAV 1147,South Africa,"Northwest Province, Vorstershoop, Molopo Reserve",-25.79460646,22.89473667,INGROUP,Tissue,SAMN12984471
U4308,"Turdus migratorius phillipsi Bangs, 1915",Louisiana State University Museum of Natural Science,LSUMZ 83104,,Uited States of America,"New Mexico,  JEMEZ SPRINGS",35.76863611,-106.6922583,INGROUP,Tissue,SAMN12984472
U4280,"Turdus chrysolaus Temminck, 1832",Louisiana State University Museum of Natural Science,LSUMZ 16992,,Japan,"Nagano Prefecture,  Nobeyama",35.95715,135.4749333,INGROUP,Tissue,SAMN12984473
U4301,"Turdus merula merula Linnaeus, 1758",Louisiana State University Museum of Natural Science,LSUMZ 13474,,Germany,"Schelswig-Holstein,  Helgoland",54.18032778,7.888944444,INGROUP,Tissue,SAMN12984474
U4294,"Turdus iliacus iliacus Linnaeus, 1766",Louisiana State University Museum of Natural Science,LSUMZ 31191,,Russia,Belarus: Liahawiczi Raion Tuhawiczi ,52.59,25.58,INGROUP,Tissue,SAMN12984475
GNM-Av.ex 7455,"Turdus fumigatus M. H. K. Lichtenstein, 1823",Göteborg Naturhistoriska Museum – Exotic Collection.,GNM-Av.ex 7455,,Ecuador,,-2.073347222,-76.72621389,INGROUP,ToePads,SAMN12984476
GNM5775,"Turdus eunomus Temminck, 1831",Göteborg Naturhistoriska Museum,GNM5775,,Russia,Moneron Island,46.25277778,141.2366667,INGROUP,ToePads,SAMN12984477
GNM5778,"Turdus obscurus J. F. Gmelin, 1789",Göteborg Naturhistoriska Museum,GNM5778,,Russia,Moneron Island,46.25277778,141.2366667,INGROUP,ToePads,SAMN12984478
